文件,x1,y1,x2,y2,宽,高
00_原图与总览/00_素材归类与落位规范_原图.png,0,0,1491,1055,1491,1055
01_文件夹结构/01_推荐的资源文件夹结构.png,18,49,688,553,670,504
02_素材分类示意/02_素材分类示意.png,709,49,1289,476,580,427
03_文件命名规范/03_文件命名规范.png,709,487,1289,730,580,243
04_导出标准/04_导出标准.png,17,823,492,1019,475,196
05_制作与导入流程/05_素材制作与导入流程.png,511,731,700,1019,189,288
06_落位示例/06_落位示例.png,709,731,1466,1019,757,288
01_文件夹结构/11_角色相关.png,30,112,258,838,228,726
01_文件夹结构/12_UI界面相关.png,280,112,491,836,211,724
01_文件夹结构/13_特效相关.png,500,112,680,580,180,468
01_文件夹结构/14_文档与参考.png,500,582,680,836,180,254
01_文件夹结构/15_推荐目录结构总览.png,30,82,680,838,650,756
02_素材分类示意/11_主角类.png,716,92,819,292,103,200
02_素材分类示意/12_伙伴类.png,824,92,947,292,123,200
02_素材分类示意/13_精英怪类.png,951,92,1085,292,134,200
02_素材分类示意/14_Boss类.png,1091,92,1251,292,160,200
02_素材分类示意/21_UI界面类.png,715,317,929,470,214,153
02_素材分类示意/22_道具类.png,934,317,1090,470,156,153
02_素材分类示意/23_特效类.png,1095,317,1252,470,157,153
02_素材分类示意/24_分类总览.png,715,91,1252,470,537,379
03_文件命名规范/11_命名格式.png,723,525,979,722,256,197
03_文件命名规范/12_命名示例.png,984,525,1278,722,294,197
05_制作与导入流程/11_流程卡片总览.png,519,782,691,983,172,201
05_制作与导入流程/12_步骤1_概念设计.png,519,782,547,983,28,201
05_制作与导入流程/13_步骤2_拆分设计.png,548,782,575,983,27,201
05_制作与导入流程/14_步骤3_动画制作.png,576,782,603,983,27,201
05_制作与导入流程/15_步骤4_图集整理.png,604,782,631,983,27,201
05_制作与导入流程/16_步骤5_导入游戏.png,632,782,659,983,27,201
05_制作与导入流程/17_步骤6_配置预制体.png,660,782,691,983,31,201
06_落位示例/11_示例1_魔药巫女_精英怪.png,721,789,956,979,235,190
06_落位示例/12_示例2_烈焰巨龙_Boss.png,962,789,1198,979,236,190
06_落位示例/13_示例3_UI按钮图标.png,1204,789,1451,979,247,190
