文件,x1,y1,x2,y2,宽,高
00_原图与总览/00_八大模块总览原图.png,0,0,1536,1024,1536,1024
01_封面与主视觉/01_封面与主视觉.png,4,4,474,475,470,471
02_角色设计/02_角色设计.png,476,4,876,475,400,471
03_敌人设计/03_敌人设计.png,878,4,1192,475,314,471
04_NPC与建筑/04_NPC与建筑.png,1194,4,1532,475,338,471
05_场景设计/05_场景设计.png,4,480,535,984,531,504
06_技能特效/06_技能特效.png,538,480,943,984,405,504
07_UI界面素材/07_UI界面素材.png,946,480,1267,984,321,504
08_道具素材/08_道具素材.png,1270,480,1532,984,262,504
01_封面与主视觉/11_进入游戏封面背景.png,18,95,466,475,448,380
01_封面与主视觉/12_Logo标题.png,18,24,220,120,202,96
01_封面与主视觉/13_中央雕像城堡.png,74,95,372,475,298,380
01_封面与主视觉/14_左右旗帜与装饰.png,16,187,74,406,58,219
01_封面与主视觉/15_宣传文案区.png,253,52,458,164,205,112
02_角色设计/11_主角职业组.png,492,52,850,183,358,131
02_角色设计/12_角色三视图与部件.png,492,192,848,452,356,260
02_角色设计/13_战士.png,493,50,575,182,82,132
02_角色设计/14_法师.png,579,50,664,182,85,132
02_角色设计/15_游侠.png,665,50,756,182,91,132
02_角色设计/16_牧师.png,756,50,848,182,92,132
02_角色设计/17_法师正面.png,495,218,572,374,77,156
02_角色设计/18_法师侧面.png,586,218,663,374,77,156
02_角色设计/19_法师背面.png,680,218,779,374,99,156
02_角色设计/20_法师武器挂件.png,793,216,846,376,53,160
02_角色设计/21_法师小头像与剪影.png,493,386,845,452,352,66
03_敌人设计/11_小怪组.png,889,54,1179,150,290,96
03_敌人设计/12_精英怪组.png,889,164,1180,291,291,127
03_敌人设计/13_Boss组.png,889,315,1179,458,290,143
03_敌人设计/14_史莱姆.png,890,54,954,150,64,96
03_敌人设计/15_骷髅兵.png,955,54,1017,150,62,96
03_敌人设计/16_哥布林.png,1019,54,1096,150,77,96
03_敌人设计/17_小蝙蝠.png,1098,54,1179,150,81,96
03_敌人设计/18_狼骑士.png,890,164,962,291,72,127
03_敌人设计/19_魔药巫女.png,963,164,1035,291,72,127
03_敌人设计/20_石像卫士.png,1036,164,1108,291,72,127
03_敌人设计/21_兽人酋长.png,1109,164,1179,291,70,127
03_敌人设计/22_赤金炎龙.png,889,316,983,458,94,142
03_敌人设计/23_深渊魔像.png,984,316,1074,458,90,142
03_敌人设计/24_亡灵君王.png,1075,316,1178,458,103,142
04_NPC与建筑/11_NPC组.png,1206,54,1518,150,312,96
04_NPC与建筑/12_防御建筑组.png,1206,164,1518,309,312,145
04_NPC与建筑/13_场景建筑组.png,1206,348,1518,460,312,112
04_NPC与建筑/14_国王.png,1207,54,1278,150,71,96
04_NPC与建筑/15_铁匠.png,1279,54,1350,150,71,96
04_NPC与建筑/16_商人.png,1352,54,1427,150,75,96
04_NPC与建筑/17_任务娘.png,1429,54,1518,150,89,96
04_NPC与建筑/18_箭塔.png,1207,164,1278,309,71,145
04_NPC与建筑/19_魔法塔.png,1279,164,1350,309,71,145
04_NPC与建筑/20_炮塔.png,1352,164,1426,309,74,145
04_NPC与建筑/21_冰霜塔.png,1429,164,1518,309,89,145
04_NPC与建筑/22_主城.png,1207,348,1284,460,77,112
04_NPC与建筑/23_民居.png,1288,348,1363,460,75,112
04_NPC与建筑/24_酒馆.png,1365,348,1440,460,75,112
04_NPC与建筑/25_仓库.png,1442,348,1517,460,75,112
05_场景设计/11_关卡场景8联.png,12,536,527,752,515,216
05_场景设计/12_绿野平原.png,12,536,139,640,127,104
05_场景设计/13_荒芜沙漠.png,142,536,269,640,127,104
05_场景设计/14_熔岩火山.png,272,536,400,640,128,104
05_场景设计/15_冰雪雪原.png,403,536,527,640,124,104
05_场景设计/16_幽暗森林.png,12,645,139,752,127,107
05_场景设计/17_亡灵墓地.png,142,645,269,752,127,107
05_场景设计/18_天空浮岛.png,272,645,400,752,128,107
05_场景设计/19_最终之城.png,403,645,527,752,124,107
05_场景设计/20_地块与装饰物总览.png,12,785,526,974,514,189
05_场景设计/21_草地与石板地块.png,16,790,205,851,189,61
05_场景设计/22_水面地块.png,206,790,258,851,52,61
05_场景设计/23_桥梁.png,274,790,358,878,84,88
05_场景设计/24_树木.png,360,790,453,878,93,88
05_场景设计/25_木箱木桶.png,15,878,139,936,124,58
05_场景设计/26_营火车.png,16,937,67,975,51,38
05_场景设计/27_石头水晶火把.png,68,937,255,975,187,38
05_场景设计/28_旗帜.png,276,878,391,975,115,97
05_场景设计/29_骨头栅栏.png,392,878,522,975,130,97
06_技能特效/11_法术类.png,550,535,931,639,381,104
06_技能特效/12_物理类.png,550,642,931,744,381,102
06_技能特效/13_状态特效.png,550,748,931,848,381,100
06_技能特效/14_通用特效.png,550,853,931,968,381,115
06_技能特效/15_火球术.png,551,535,623,639,72,104
06_技能特效/16_陨石雨.png,625,535,697,639,72,104
06_技能特效/17_冰霜新星.png,699,535,771,639,72,104
06_技能特效/18_雷电链.png,773,535,845,639,72,104
06_技能特效/19_黑暗漩涡.png,847,535,931,639,84,104
06_技能特效/20_旋风斩.png,551,642,623,744,72,102
06_技能特效/21_冲击波.png,625,642,697,744,72,102
06_技能特效/22_箭雨.png,699,642,771,744,72,102
06_技能特效/23_穿刺击.png,773,642,845,744,72,102
06_技能特效/24_烈焰斩.png,847,642,931,744,84,102
06_技能特效/25_治疗光环.png,551,748,623,848,72,100
06_技能特效/26_护盾.png,625,748,697,848,72,100
06_技能特效/27_加速.png,699,748,771,848,72,100
06_技能特效/28_中毒.png,773,748,845,848,72,100
06_技能特效/29_眩晕.png,847,748,931,848,84,100
06_技能特效/30_升级特效.png,551,853,623,968,72,115
06_技能特效/31_暴击特效.png,625,853,697,968,72,115
06_技能特效/32_击杀特效.png,699,853,771,968,72,115
06_技能特效/33_传送门.png,773,853,845,968,72,115
06_技能特效/34_死亡消散.png,847,853,931,968,84,115
07_UI界面素材/11_按钮组.png,957,535,1256,606,299,71
07_UI界面素材/12_面板组.png,957,613,1256,710,299,97
07_UI界面素材/13_图标组.png,957,718,1256,842,299,124
07_UI界面素材/14_状态栏.png,957,851,1108,966,151,115
07_UI界面素材/15_技能按钮组.png,1113,850,1256,966,143,116
07_UI界面素材/16_开始战斗按钮.png,957,535,1027,606,70,71
07_UI界面素材/17_挑战按钮.png,1030,535,1098,606,68,71
07_UI界面素材/18_领取按钮.png,1101,535,1170,606,69,71
07_UI界面素材/19_升级按钮.png,1174,535,1245,606,71,71
07_UI界面素材/20_面板_左.png,957,613,1030,710,73,97
07_UI界面素材/21_面板_中.png,1031,613,1142,710,111,97
07_UI界面素材/22_面板_右.png,1145,613,1256,710,111,97
07_UI界面素材/23_金币图标.png,957,718,1010,778,53,60
07_UI界面素材/24_钻石图标.png,1012,718,1067,778,55,60
07_UI界面素材/25_钥匙图标.png,1069,718,1122,778,53,60
07_UI界面素材/26_宝箱图标.png,1125,718,1179,778,54,60
07_UI界面素材/27_邮件图标.png,1181,718,1237,778,56,60
07_UI界面素材/28_设置图标.png,957,780,1010,842,53,62
07_UI界面素材/29_提示图标.png,1012,780,1067,842,55,62
07_UI界面素材/30_成就图标.png,1069,780,1122,842,53,62
07_UI界面素材/31_排行榜图标.png,1125,780,1179,842,54,62
07_UI界面素材/32_活动图标.png,1181,780,1237,842,56,62
08_道具素材/11_药水组.png,1283,534,1518,624,235,90
08_道具素材/12_材料组_上.png,1283,630,1518,719,235,89
08_道具素材/13_材料组_中.png,1283,727,1518,816,235,89
08_道具素材/14_装备组.png,1283,823,1518,912,235,89
08_道具素材/15_饰品组.png,1283,913,1518,984,235,71
08_道具素材/16_生命药水.png,1283,534,1339,624,56,90
08_道具素材/17_法力药水.png,1341,534,1397,624,56,90
08_道具素材/18_攻击药水.png,1399,534,1456,624,57,90
08_道具素材/19_防御药水.png,1458,534,1518,624,60,90
08_道具素材/20_经验书.png,1283,630,1339,719,56,89
08_道具素材/21_技能书.png,1341,630,1397,719,56,89
08_道具素材/22_强化石.png,1399,630,1456,719,57,89
08_道具素材/23_进阶材料.png,1458,630,1518,719,60,89
08_道具素材/24_金币袋.png,1283,727,1339,816,56,89
08_道具素材/25_钻石堆.png,1341,727,1397,816,56,89
08_道具素材/26_召唤卷轴.png,1399,727,1456,816,57,89
08_道具素材/27_装备箱.png,1458,727,1518,816,60,89
08_道具素材/28_武器_剑.png,1283,823,1339,912,56,89
08_道具素材/29_头盔.png,1341,823,1397,912,56,89
08_道具素材/30_盔甲.png,1399,823,1456,912,57,89
08_道具素材/31_靴子.png,1458,823,1518,912,60,89
08_道具素材/32_翅膀.png,1283,913,1339,984,56,71
08_道具素材/33_戒指.png,1341,913,1397,984,56,71
08_道具素材/34_项链.png,1399,913,1456,984,57,71
08_道具素材/35_神器碎片.png,1458,913,1518,984,60,71
