文件,x1,y1,x2,y2,宽,高
00_原图与总览/00_赤金炎龙_Boss设计方案_原图.png,0,0,1491,1055,1491,1055
01_Boss主视觉图/01_Boss主视觉图.png,15,49,501,722,486,673
02_三视图设定/02_三视图设定.png,513,49,1023,367,510,318
03_头像与图标/03_头像与图标.png,1032,49,1324,368,292,319
04_技能与特效素材/04_技能与特效素材.png,513,374,1000,675,487,301
05_部件拆分图/05_部件拆分图_Cutout.png,1005,374,1324,708,319,334
06_动作示意图/06_动作示意图.png,15,726,768,976,753,250
07_资源目录建议/07_资源目录建议.png,776,726,1015,976,239,250
08_设计说明/08_设计说明.png,1020,726,1324,976,304,250
09_设计总结/09_设计总结.png,15,980,764,1020,749,40
10_右侧标语区域/10_右侧标语区域.png,1330,45,1480,1015,150,970
02_三视图设定/11_正视图.png,545,98,675,308,130,210
02_三视图设定/12_侧视图.png,694,98,835,309,141,211
02_三视图设定/13_背视图.png,848,98,988,309,140,211
02_三视图设定/14_三视图整组.png,527,92,996,330,469,238
03_头像与图标/11_Boss头像_128.png,1056,92,1163,228,107,136
03_头像与图标/12_头像框.png,1175,92,1295,228,120,136
03_头像与图标/13_战斗小图标.png,1057,260,1124,326,67,66
03_头像与图标/14_BOSS来袭横幅.png,1132,261,1233,326,101,65
03_头像与图标/15_关卡图标.png,1243,260,1300,326,57,66
03_头像与图标/16_头像与图标总览.png,1047,91,1303,331,256,240
04_技能与特效素材/11_火焰吐息.png,528,416,669,499,141,83
04_技能与特效素材/12_陨石火雨.png,676,416,825,499,149,83
04_技能与特效素材/13_地脉熔岩喷发.png,833,416,987,499,154,83
04_技能与特效素材/14_双翼烈焰风暴.png,527,534,618,628,91,94
04_技能与特效素材/15_尾击横扫.png,625,534,718,628,93,94
04_技能与特效素材/16_烈焰护盾_核心.png,724,534,817,628,93,94
04_技能与特效素材/17_受击特效.png,823,534,908,628,85,94
04_技能与特效素材/18_技能预警标记.png,914,534,988,628,74,94
04_技能与特效素材/19_技能与特效总览.png,523,412,989,635,466,223
05_部件拆分图/11_龙头.png,1030,420,1081,497,51,77
05_部件拆分图/12_角_左右.png,1081,420,1125,497,44,77
05_部件拆分图/13_下颌.png,1127,420,1170,497,43,77
05_部件拆分图/14_鬃毛.png,1171,420,1237,497,66,77
05_部件拆分图/15_前爪.png,1030,523,1082,601,52,78
05_部件拆分图/16_后腿.png,1081,523,1128,601,47,78
05_部件拆分图/17_翅膀_左右.png,1142,518,1243,601,101,83
05_部件拆分图/18_尾巴.png,1243,518,1301,601,58,83
05_部件拆分图/19_胸甲.png,1028,630,1073,695,45,65
05_部件拆分图/20_核心宝石.png,1075,630,1127,695,52,65
05_部件拆分图/21_鳞片装饰.png,1126,630,1168,695,42,65
05_部件拆分图/22_翅膀骨架.png,1171,630,1230,695,59,65
05_部件拆分图/23_火焰特效.png,1232,630,1274,695,42,65
05_部件拆分图/24_投影.png,1276,630,1320,695,44,65
05_部件拆分图/25_部件总览.png,1024,412,1305,700,281,288
06_动作示意图/11_待机动作.png,31,766,137,918,106,152
06_动作示意图/12_咆哮动作.png,139,766,244,918,105,152
06_动作示意图/13_攻击动作.png,247,766,360,918,113,152
06_动作示意图/14_腾空飞起.png,363,766,488,918,125,152
06_动作示意图/15_受击动作.png,493,766,605,918,112,152
06_动作示意图/16_死亡动作.png,607,766,744,918,137,152
06_动作示意图/17_动作示意整组.png,25,762,747,921,722,159
07_资源目录建议/11_资源目录树.png,794,762,965,934,171,172
07_资源目录建议/12_目录建议总览.png,786,760,1000,938,214,178
08_设计说明/11_参数表.png,1042,758,1302,884,260,126
08_设计说明/12_设计要点.png,1042,888,1302,964,260,76
08_设计说明/13_设计说明总览.png,1038,758,1306,964,268,206
