文件,x1,y1,x2,y2,宽,高
00_原图与总览/00_魔药巫女_角色设计方案_原图.png,0,0,1491,1055,1491,1055
01_角色主视觉图/01_角色主视觉图.png,15,49,497,722,482,673
02_三视图设定/02_三视图设定.png,512,49,1021,367,509,318
03_头像与图标/03_头像与图标.png,1030,49,1324,367,294,318
04_动作示意/04_动作示意.png,512,376,1008,715,496,339
05_色彩与材质/05_色彩与材质.png,1018,375,1324,715,306,340
06_部件拆分图/06_部件拆分图_Cutout.png,15,725,700,976,685,251
07_资源目录建议/07_资源目录建议.png,709,725,1016,976,307,251
08_设计说明/08_设计说明.png,1026,725,1323,976,297,251
09_设计总结/09_设计总结.png,14,980,757,1021,743,41
10_右侧标语区域/10_右侧标语区域.png,1331,47,1481,1017,150,970
02_三视图设定/11_正视图.png,544,96,667,308,123,212
02_三视图设定/12_侧视图.png,695,97,817,309,122,212
02_三视图设定/13_背视图.png,845,96,975,309,130,213
02_三视图设定/14_三视图整组.png,525,93,994,329,469,236
03_头像与图标/11_头像_128.png,1053,91,1174,227,121,136
03_头像与图标/12_圆整图标.png,1054,261,1122,329,68,68
03_头像与图标/13_精英卡片.png,1131,261,1200,329,69,68
03_头像与图标/14_小头像框.png,1213,261,1298,329,85,68
03_头像与图标/15_头像与图标总览.png,1048,90,1302,331,254,241
04_动作示意/11_待机动作.png,529,470,595,598,66,128
04_动作示意/12_行走动作.png,611,470,683,598,72,128
04_动作示意/13_攻击动作.png,699,470,773,598,74,128
04_动作示意/14_受击动作.png,789,470,853,598,64,128
04_动作示意/15_技能释放.png,867,419,993,600,126,181
04_动作示意/16_动作示意总览.png,524,418,994,607,470,189
05_色彩与材质/11_色板.png,1032,425,1266,480,234,55
05_色彩与材质/12_布料材质.png,1033,494,1116,592,83,98
05_色彩与材质/13_金属材质.png,1128,494,1214,592,86,98
05_色彩与材质/14_玻璃_魔药.png,1032,617,1117,702,85,85
05_色彩与材质/15_剪影特征.png,1165,493,1299,703,134,210
05_色彩与材质/16_色彩与材质总览.png,1030,420,1300,703,270,283
06_部件拆分图/11_帽子.png,28,766,136,851,108,85
06_部件拆分图/12_头部_前发后发.png,145,741,287,849,142,108
06_部件拆分图/13_脸部表情.png,315,741,419,849,104,108
06_部件拆分图/14_身体.png,458,738,524,850,66,112
06_部件拆分图/15_手臂_左右.png,554,739,668,849,114,110
06_部件拆分图/16_腿部_左右.png,28,857,137,951,109,94
06_部件拆分图/17_魔药瓶_左右.png,164,856,253,951,89,95
06_部件拆分图/18_披风触手.png,281,857,449,950,168,93
06_部件拆分图/19_特效_阴影.png,510,857,678,950,168,93
06_部件拆分图/20_部件总览.png,24,738,679,952,655,214
07_资源目录建议/11_资源目录树.png,729,763,966,937,237,174
07_资源目录建议/12_目录建议总览.png,719,760,1000,938,281,178
08_设计说明/11_参数表.png,1042,760,1300,885,258,125
08_设计说明/12_设计要点.png,1042,887,1300,964,258,77
08_设计说明/13_设计说明总览.png,1038,759,1304,965,266,206
